,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
54,0.0748,https://api.spotify.com/v1/audio-analysis/1vt5PduVFagH1v2FmsTePp,0.798,420840.0,0.719,1vt5PduVFagH1v2FmsTePp,0.936,11.0,0.105,-10.986,1.0,0.062,127.011,3.0,https://api.spotify.com/v1/tracks/1vt5PduVFagH1v2FmsTePp,audio_features,spotify:track:1vt5PduVFagH1v2FmsTePp,0.159
55,0.000338,https://api.spotify.com/v1/audio-analysis/61oGW0z2TSONPxYlsmlfbB,0.799,397227.0,0.892,61oGW0z2TSONPxYlsmlfbB,0.913,11.0,0.105,-9.751,0.0,0.0561,120.999,4.0,https://api.spotify.com/v1/tracks/61oGW0z2TSONPxYlsmlfbB,audio_features,spotify:track:61oGW0z2TSONPxYlsmlfbB,0.478
56,0.00201,https://api.spotify.com/v1/audio-analysis/3FYQ2CKsPADUX64S09xRj6,0.69,477280.0,0.697,3FYQ2CKsPADUX64S09xRj6,0.905,4.0,0.0879,-9.12,0.0,0.0682,128.982,4.0,https://api.spotify.com/v1/tracks/3FYQ2CKsPADUX64S09xRj6,audio_features,spotify:track:3FYQ2CKsPADUX64S09xRj6,0.229
57,0.000583,https://api.spotify.com/v1/audio-analysis/5qdWLjTWrqil71QCZhxG2M,0.757,437800.0,0.625,5qdWLjTWrqil71QCZhxG2M,0.915,8.0,0.0967,-9.944,1.0,0.0514,127.989,4.0,https://api.spotify.com/v1/tracks/5qdWLjTWrqil71QCZhxG2M,audio_features,spotify:track:5qdWLjTWrqil71QCZhxG2M,0.349
58,5.03e-05,https://api.spotify.com/v1/audio-analysis/3Q91vnxusgOhNiBe3T3KeU,0.548,528027.0,0.496,3Q91vnxusgOhNiBe3T3KeU,0.924,10.0,0.114,-11.833,0.0,0.0458,123.997,4.0,https://api.spotify.com/v1/tracks/3Q91vnxusgOhNiBe3T3KeU,audio_features,spotify:track:3Q91vnxusgOhNiBe3T3KeU,0.0358
59,0.00409,https://api.spotify.com/v1/audio-analysis/3nYbPy0DtrlEhhk6vCdhix,0.805,357920.0,0.758,3nYbPy0DtrlEhhk6vCdhix,0.945,4.0,0.0943,-10.607,0.0,0.0875,121.003,4.0,https://api.spotify.com/v1/tracks/3nYbPy0DtrlEhhk6vCdhix,audio_features,spotify:track:3nYbPy0DtrlEhhk6vCdhix,0.0436
60,0.0161,https://api.spotify.com/v1/audio-analysis/4blHb7OjMQB9RzCXJclVUY,0.534,448499.0,0.359,4blHb7OjMQB9RzCXJclVUY,0.9,4.0,0.196,-12.903,0.0,0.037,120.009,4.0,https://api.spotify.com/v1/tracks/4blHb7OjMQB9RzCXJclVUY,audio_features,spotify:track:4blHb7OjMQB9RzCXJclVUY,0.0409
61,0.00197,https://api.spotify.com/v1/audio-analysis/5Fs17NxniOAcl6NusPL18o,0.57,3148502.0,0.775,5Fs17NxniOAcl6NusPL18o,0.885,10.0,0.223,-12.584,0.0,0.0469,126.303,4.0,https://api.spotify.com/v1/tracks/5Fs17NxniOAcl6NusPL18o,audio_features,spotify:track:5Fs17NxniOAcl6NusPL18o,0.113
62,0.124,https://api.spotify.com/v1/audio-analysis/3U19L6PvI1rDbB7VHm8LYf,0.612,332573.0,0.603,3U19L6PvI1rDbB7VHm8LYf,0.000452,0.0,0.248,-13.349,1.0,0.0375,128.993,4.0,https://api.spotify.com/v1/tracks/3U19L6PvI1rDbB7VHm8LYf,audio_features,spotify:track:3U19L6PvI1rDbB7VHm8LYf,0.582
63,0.0375,https://api.spotify.com/v1/audio-analysis/2DwoM153m4ATKA8nnETpqd,0.7,165427.0,0.365,2DwoM153m4ATKA8nnETpqd,0.00663,11.0,0.0839,-15.863,0.0,0.0362,133.046,4.0,https://api.spotify.com/v1/tracks/2DwoM153m4ATKA8nnETpqd,audio_features,spotify:track:2DwoM153m4ATKA8nnETpqd,0.644
